1715595858.189844 start program
1715595873.255679 load data
1715604499.328418 start phase train
1715604534.770599 start phase val
1715604536.934552 start epoch 1
1715604536.934709 start phase train
1715604572.050105 start phase val
1715604574.105397 start epoch 2
1715604574.105540 start phase train
1715604609.188877 start phase val
1715604611.290202 end
1715604644.472991 start program
1715604662.521426 load data
1715604662.616675 finish loading data
1715604663.027734 save model
1715604663.101532 done save model
1715604663.101631 start epoch 0
1715604663.101690 start phase train
1715604698.617521 start phase val
1715604700.745197 start epoch 1
1715604700.745462 start phase train
1715604735.694123 start phase val
1715604737.768917 start epoch 2
1715604737.769097 start phase train
1715604773.176131 start phase val
1715604775.033644 end
1715604808.164418 start program
1715604815.286490 load data
1715604815.381158 finish loading data
1715604815.824073 save model
1715604815.891581 done save model
1715604815.891681 start epoch 0
1715604815.891742 start phase train
1715604851.184670 start phase val
1715604853.352934 start epoch 1
1715604853.353176 start phase train
1715604888.350971 start phase val
1715604890.442398 start epoch 2
1715604890.442592 start phase train
1715604925.790984 start phase val
1715604927.842674 end
1715604960.975751 start program
1715604980.914128 load data
1715604981.007949 finish loading data
1715604981.412005 save model
1715604981.479453 done save model
1715604981.479562 start epoch 0
1715604981.479620 start phase train
1715605017.016115 start phase val
1715605019.114221 start epoch 1
1715605019.114369 start phase train
1715605055.778125 start phase val
1715605058.143596 start epoch 2
1715605058.143820 start phase train
1715605094.401060 start phase val
1715605096.457816 end
